COUNTRY,CODE_TIME,TIME,YEAR,MONTH,MONTH_NAME,PRODUCT,VALUE,DISPLAY_ORDER,yearToDate,previousYearToDate,share
Estonia,JAN2010,January 2010,2010,1,January,Fossil fuels,1050.155,27,10760.011,,0.926527508070628
Finland,JAN2010,January 2010,2010,1,January,Hydro,1102.097,1,12743,,0.1327580428994792
Finland,JAN2010,January 2010,2010,1,January,Wind,24.082,2,293.998,,0.002900905445804914
Finland,JAN2010,January 2010,2010,1,January,Solar,0.114,3,4.74,,1.3732381896095017e-05
Finland,JAN2010,January 2010,2010,1,January,Nuclear,2022.462,6,21889,,0.24362474170473788
Finland,JAN2010,January 2010,2010,1,January,Total combustible fuels,5128.707,7,42000,,0.6178014312032963
Finland,JAN2010,January 2010,2010,1,January,Coal,2690.959,8,20281.61,,0.32415154960292936
Finland,JAN2010,January 2010,2010,1,January,Oil,52.924,9,458.405,,0.006375198065516952
Finland,JAN2010,January 2010,2010,1,January,Natural gas,1268.106,10,10663.614,,0.15275540242745145
Finland,JAN2010,January 2010,2010,1,January,Combustible renewables,1095.358,11,10393.687,,0.13194626639423548
Finland,JAN2010,January 2010,2010,1,January,Other combustible non-renewables,21.36,12,202.683,,0.002573014713163066
Finland,JAN2010,January 2010,2010,1,January,Not specified,24.083,13,288.996,,0.00290102590529523
Finland,JAN2010,January 2010,2010,1,January,Net electricity production,8301.546,14,77219.739,,1
Finland,JAN2010,January 2010,2010,1,January,Total imports,1391.389,15,15718.999,,0.16760600977215567
Finland,JAN2010,January 2010,2010,1,January,Total exports,372.41,16,5217.999,,0.04486031878881355
Finland,JAN2010,January 2010,2010,1,January,Electricity supplied,9320.525,17,87720.739,,1.122745690983342
Finland,JAN2010,January 2010,2010,1,January,Distribution losses,287.621,19,2761.002,,0.03464667906435741
Finland,JAN2010,January 2010,2010,1,January,Final consumption,9032.904,20,84959.739,,1.0880990119189848
Finland,JAN2010,January 2010,2010,1,January,Electricity trade,-1018.979,21,-10501,,-0.12274569098334213
Finland,JAN2010,January 2010,2010,1,January,Renewables,2221.651,22,23435.425,,0.26761894712141565
Finland,JAN2010,January 2010,2010,1,January,Non-renewables,6079.894,23,53784.308,,0.732380932419094
Finland,JAN2010,January 2010,2010,1,January,Others,98.367,24,950.084,,0.01184923868397525
Finland,JAN2010,January 2010,2010,1,January,Other renewables aggregated,1095.358,25,10393.687,,0.13194626639423548
Finland,JAN2010,January 2010,2010,1,January,Low carbon,4268.196,26,45613.421,,0.5141447147314487
